"","Species","taxonKey","nObs","common.names"
"116","Microtus californicus",2438603,9532,"California vole"
"117","Microtus guentheri",2438628,57,"Guenther's Vole"
"118","Hydrochoerus hydrochaeris",5786666,2375,"capybara"
"119","Kerodon rupestris",2437616,24,"Rock cavy"
"120","Dolichotis salinicola",2437618,47,"Chacoan Mara"
"121","Heterocephalus glaber",5219654,256,"naked mole-rat"
"122","Georychus capensis",5219653,48,"Cape mole-rat"
"123","Cryptomys damarensis",2437214,21,"Damara mole-rat"
"124","Cryptomys mechowi",2437217,57,"Mechow's mole rat"
"125","Cryptomys hottentotus",2437213,527,"Hottentot mole-rat"
"126","Aplodontia rufa",2439690,1253,"mountain beaver"
"127","Tarsius syrichta",2436484,50,"Philippine tarsier"
"128","Nycticebus pygmaeus",2436628,28,"pygmy slow loris"
"129","Nycticebus coucang",2436629,101,"slow loris"
"130","Perodicticus potto",2436624,170,"potto"
"131","Eulemur fulvus",9092265,184,"brown lemur"
"132","Microcebus murinus",2436447,453,"gray mouse lemur"
