"","Species","taxonKey","nObs","common.names"
"231","Tonatia bidens",2433203,120,"Spix's round-eared bat"
"232","Uroderma bilobatum",2433156,3838,"tent-building bat"
"233","Phyllostomus elongatus",2433281,879,"lesser spear-nosed bat"
"234","Glossophaga soricina",2433194,18466,"Pallas's long-tongued bat"
"235","Leptonycteris yerbabuenae",2433312,3352,"Lesser long-nosed bat"
"236","Leptonycteris curasoae",2433316,1808,"southern long-nosed bat"
"237","Glossophaga longirostris",2433192,2754,"Miller's long-tongued bat"
"238","Noctilio leporinus",2433343,1890,"greater bulldog bat"
"239","Noctilio albiventris",2433344,1998,"lesser bulldog bat"
"240","Desmodus rotundus",2433298,12543,"common vampire bat"
"241","Diaemus youngi",2433319,159,"white-winged vampire bat"
"242","Natalus tumidirostris",2432753,537,"Trinidadian funnel-eared bat"
"243","Mormoops blainvillii",2432760,603,"Antillean ghost-faced bat"
"244","Pteronotus quadridens",5218623,255,"sooty mustached bat"
"245","Chrotopterus auritus",5218753,455,"big-eared woolly bat"
"246","Pteronotus personatus",5218619,2916,"Wagner's mustached bat"
"247","Pteronotus parnellii",5218620,7402,"Parnell's mustached bat"
"248","Pteronotus davyi",5218622,2850,"Davy's naked-backed bat"
"249","Mormoops megalophylla",2432759,4198,"ghost-faced bat"
"250","Tadarida brasiliensis",2433011,20019,"Brazilian free-tailed bat"
"251","Molossus molossus",5218725,7969,"Pallas's mastiff bat"
"252","Macroderma gigas",5218772,819,"Australian ghost bat"
"253","Hipposideros galeritus",5218606,362,"Cantor's roundleaf bat"
"254","Hipposideros diadema",5218566,1980,"diadem roundleaf bat"
"255","Hipposideros maggietaylorae",5218558,104,"Maggie Taylor's roundleaf bat"
"256","Rhinonicteris aurantia",2432738,501,"Orange leaf-nosed bat"
"257","Peropteryx macrotis",2433140,2187,"lesser dog-like bat"
"258","Saccopteryx bilineata",5218731,3065,"greater sac-winged bat"
"259","Paradoxurus hermaphroditus",2434708,277,"Asian palm civet"
"260","Arctogalidia trivirgata",2434742,53,"small-toothed palm civet"
"261","Arctictis binturong",2434615,13,"binturong"
"262","Nandinia binotata",2433489,247,"African palm civet"
"263","Genetta tigrina",5219356,165,"large-spotted genet"
"264","Ailurus fulgens",5219446,29,"lesser panda"
"265","Potos flavus",2433573,1503,"kinkajou"
"266","Nasua narica",2433531,3439,"White-nosed coati"
"267","Nasua nasua",2433536,1078,"ring-tailed coati"
"268","Martes americana",5218864,10101,"American marten"
"269","Eira barbara",2433716,980,"Tayra"
"270","Suricata suricatta",2434126,147,"meerkat"
"271","Galerella sanguinea",5219098,581,"slender mongoose"
"272","Leptailurus serval",2435172,608,"serval"
"273","Fossa fossana",2433529,11,"Malagasy civet"
"274","Vulpes zerda",5219310,185,"fennec fox"
"275","Canis lupus",5219173,100582,"gray wolf"
"276","Cerdocyon thous",2434584,984,"crab-eating fox"
"277","Vulpes macrotis",5219311,1479,"kit fox"
"278","Canis latrans",5219153,17173,"coyote"
"279","Canis mesomelas",5219216,927,"black-backed jackal"
"280","Tragulus javanicus",5220187,85,"Java mouse-deer"
