"","Species","BelowMaxCrit","AboveMaxCrit","BelowMinCrit","AboveMinCrit","BtwnCrit","MeanMaxent"
"1","Guira guira",0.130473978034202,0.405179817027671,0.175993110431684,NA,NA,0.175776618180049
"2","Tamiasciurus hudsonicus",0.143898921441598,0.0563200159787277,0.124826099468465,0.0194996731081214,0.0521045821331828,0.113274032624839
"3","Gallirallus australis",0.268286416780332,0.00250924179937382,0.249760404459306,NA,NA,0.250176693789313
"4","Amadina fasciata",0.102435812658535,0.254047595464186,0.113003920158629,NA,NA,0.112909087835828
"5","Petauroides volans",0.15280958436131,0.145216258673613,0.160188521114513,0.00102633317445894,NA,0.149643934607207
