"","species","threshold","Suit","Area"
"1","Guira guira",0.0999,0.175776618180049,109399048.169435
"2","Tamiasciurus hudsonicus",0.0999,0.113274032624839,51121261.4622406
"3","Gallirallus australis",0.0963,0.250176693789313,55005801.7281627
"4","Amadina fasciata",0.0991,0.112909087835828,68868400.706074
"5","Petauroides volans",0.0996,0.149643934607207,73258591.9862701
